F1,F2,F3
3.212,3910.359863184563,11076.499999999998
3.292,3665.9541503182,11135.199999999997
3.184,4017.733444665893,11175.399999999996
3.307,3296.44386094125,11216.5
3.265,3859.9167086887974,11284.099999999997
3.099,4243.916119839086,11375.899999999998
3.056,5395.072273492842,11538.099999999999
3.551,1587.5841434887807,11574.800000000001
2.973,6785.3559183524485,11633.499999999996
3.509,2653.085294274949,11678.800000000003
3.049,4654.271977430714,11766.7
2.916,5991.026030014201,11781.899999999994
2.625,12862.169331933052,11887.399999999996
3.47,2607.7766610210806,11890.500000000002
2.776,9261.844655241503,11925.300000000001
2.937,5628.595511867774,11988.599999999997
2.985,5374.028110240319,12046.599999999995
3.074,4419.697465832529,12087.099999999999
2.604,13382.889600293833,12143.999999999998
2.851,7003.341048595943,12196.800000000001
2.751,11683.109105283103,12254.899999999994
2.697,10865.156692591128,12270.599999999997
3.589,1364.238946356179,12300.8
2.811,8442.207928992611,12349.199999999997
2.664,12179.955884075272,12364.899999999996
2.654,12317.709489276227,12392.999999999995
2.732,8821.470232282642,12446.299999999997
2.879,5774.902235896555,12452.299999999994
2.637,12696.493054316685,12456.699999999997
3.452,1183.229838817069,12495.1
2.807,7313.044591611992,12517.799999999997
2.464,14459.066766966449,12547.899999999994
2.422,17351.50083632557,12552.799999999994
2.403,18224.148308853062,12582.699999999995
2.611,11354.631306561289,12584.999999999998
2.584,11962.594563160423,12608.699999999997
2.425,16946.987196189722,12619.299999999996
2.537,14128.217491640291,12644.799999999996
2.431,16451.689209951917,12673.499999999995
2.6,10377.302700054246,12677.899999999994
2.46,15131.090361196055,12687.099999999995
2.636,9689.40050582476,12697.599999999997
2.441,16266.230993485817,12717.799999999992
2.463,14920.375665063451,12753.299999999996
2.392,16339.223203120928,12760.199999999993
2.476,14302.583016199103,12781.299999999994
2.484,13917.679394345203,12800.999999999993
2.497,13702.79802540719,12807.099999999995
2.455,15763.141232896482,12809.499999999993
2.688,8618.754513731417,12880.100000000002
2.795,7791.820191182043,12892.600000000002
2.533,11053.107887285692,12925.399999999994
3.776,513.7363614070414,12953.700000000003
2.527,13093.2139491494,12968.599999999995
2.885,5482.970325874118,13015.800000000003
3.012,4890.111005401538,13029.500000000002
3.873,388.90393339346684,13089.500000000004
4.019,327.06290633051015,13107.300000000001
4.153,21.214004615557858,13203.700000000008
2.741,7422.879194419797,13244.499999999996
4.056,53.37647076156878,13264.400000000001
3.84,373.529430601881,13283.00000000001
2.847,5026.836153293321,13326.599999999997
4.105,44.09590127209613,13333.000000000005
3.932,54.219406534192515,13354.700000000004
3.988,51.83442215044756,13357.200000000004
3.894,158.33037281540743,13403.100000000002
2.566,10196.784091639798,13427.799999999997
3.735,119.83453655783217,13471.599999999999
2.759,6630.897924297735,13516.1
3.721,505.081676037718,13560.1
2.814,6262.215811684543,13579.099999999999
2.677,9078.860399441784,13665.399999999996
2.743,6422.602406955166,13700.499999999996
3.211,1984.0450646129316,13775.799999999997
2.636,9500.700803185038,13794.49999999999
3.641,984.5333374913045,13837.099999999999
2.993,4256.18145184219,13891.599999999997
3.646,526.0111868068828,13956.400000000005
3.332,1068.6594079041024,14011.200000000003
2.715,8131.208130678891,14093.699999999997
3.25,1616.7206772255497,14128.899999999996
3.588,551.6868165773254,14209.400000000003
3.133,2908.6206358485283,14248.500000000004
3.432,782.3230007915627,14305.300000000001
3.668,468.0910895412963,14331.499999999996
3.392,960.9065054837605,14374.500000000004
3.561,465.2091704344396,14428.200000000004
3.373,751.6809185116596,14480.099999999997
3.303,1417.1737248222025,14570.400000000003
3.207,2733.1129985392763,14745.699999999995
3.159,1807.4289166962355,14757.800000000001
3.148,2554.1600684726536,14759.1
3.082,2780.37931442888,14906.599999999999
3.099,2542.1800939518607,14933.3
3.148,2102.9403615493093,15028.800000000001
3.128,2310.4909195364803,15112.9
3.229,1411.272373437216,15185.199999999997
3.193,1599.2736973142823,15323.300000000003
3.218,1550.3636854939489,15391.600000000004
